3.000000000000001364e+03 5.363016452093497719e+03 4.156220740832324418e-11 8.097138348165076218e-11 3.977097112440333149e-01 2.455704503650507788e-10
5.363016452093497719e+03 9.587315155141828654e+03 2.283340418580525598e-12 3.569581358750325510e-14 -9.422408875315113619e-02 6.692859596833900199e-11
9.587315155141828654e+03 1.713897630281028978e+04 3.864624388813012962e-11 4.749282262354085247e-11 1.597837428927107339e+00 1.599747476496449038e-10
1.713897630281028978e+04 3.063887062800404601e+04 5.452432835635335015e-11 5.329701846551207495e-11 3.302454469877957877e+00 1.825609444691921363e-10
3.063887062800404601e+04 5.477225575051661872e+04 6.541908460310276276e-13 1.079719195374260723e-12 -3.729303542641559943e-03 1.522745576240453411e-10
5.477225575051661872e+04 9.791483623609773349e+04 4.297798120783496862e-13 1.159059735304091327e-16 -1.849492029825702127e-02 6.297446713536305716e-11
9.791483623609773349e+04 1.750396258794108289e+05 2.830841027908705164e-13 3.159616615996119191e-16 -1.072720386339021809e-02 7.158889265050181492e-11
1.750396258794108289e+05 3.129134644531895756e+05 1.869259613097061665e-13 2.409140093127810864e-13 -5.977291007873475337e-03 8.478620419813493870e-11
3.129134644531895756e+05 5.593866859813440824e+05 1.228158499012781630e-13 2.507752376793772808e-16 -3.251645213713143592e-03 1.019496853176824882e-10
5.593866859813440824e+05 1.000000000000000000e+06 8.089541107927812344e-14 2.221597682179735560e-16 -1.806125187302057766e-03 1.207475529452183089e-10
